#DSID,Name,Generator,p2949 available?
426101,JetJet_JZ1,PowhegHerwig,y
426102,JetJet_JZ2,PowhegHerwig,y
426103,JetJet_JZ3,PowhegHerwig,y
426104,JetJet_JZ4,PowhegHerwig,y
426105,JetJet_JZ5,PowhegHerwig,y
426106,JetJet_JZ6,PowhegHerwig,y
426107,JetJet_JZ7,PowhegHerwig,y
426108,JetJet_JZ8,PowhegHerwig,y
426109,JetJet_JZ9,PowhegHerwig,y
,,,
