m(C1),m(N1),dm,ISR,Flavor,Channel,NTrees,NodeSize,Depth,xSec,nSig,nBkg,BDTopt,nSig(BDTopt),nBkg(BDTopt),sigma(BDTopt),nSig(0),nBkg(0),sigma(0),nSig(0.1),nBkg(0.1),sigma(0.1),nSig(0.2),nBkg(0.2),sigma(0.2),nSig(0.3),nBkg(0.3),sigma(0.3)
600,550,50,no,comb,3,100,10,4,0.01706,5,1426657,0.27,2.06,28401.9,0.012,4.11,222678.28,0.009,3.5,117241.18,0.01,2.72,56952.16,0.011,1.78,22513.6,0.012
600,550,50,no,comb,3,100,10,5,0.01706,5,1426657,0.28,1.96,25128.32,0.012,4.1,219427.18,0.009,3.48,115287.1,0.01,2.68,54850.48,0.011,1.74,20809.41,0.012
600,550,50,no,comb,3,100,7,2,0.01706,5,1426657,0.3,1.98,26899.44,0.012,4.16,188930.98,0.01,3.62,106051.87,0.011,2.74,55080.73,0.012,2,27700.33,0.012
600,550,50,no,comb,3,200,10,2,0.01706,5,1426657,0.31,1.19,9761.16,0.012,4.09,231841.96,0.008,3.31,103222.94,0.01,2.19,39489.96,0.011,1.25,11376.02,0.012
600,550,50,no,comb,3,200,10,3,0.01706,5,1426657,0.23,1.84,23244.98,0.012,4.17,226953,0.009,3.29,95355.3,0.011,2.16,32821.9,0.012,1.15,10347.41,0.011
600,550,50,no,comb,3,400,10,2,0.01706,5,1426657,0.22,1.4,13976.32,0.012,4.13,223856.6,0.009,3.03,77768.29,0.011,1.62,19830.92,0.012,0.74,4695.02,0.011
600,550,50,no,comb,3,600,10,2,0.01706,5,1426657,0.19,1.44,14310.54,0.012,4.11,223655.25,0.009,2.86,61791.23,0.012,1.24,11701.32,0.011,0.31,1423.59,0.008
600,550,50,yes,em,11,200,7,2,0.01706,4,769509,0.17,1.42,17040.35,0.011,3.06,143460.13,0.008,2.15,53305.52,0.009,1.13,12679.75,0.01,0.36,2240.36,0.008
600,550,50,yes,ll,14,100,5,3,0.01706,3,1369289,0.25,1.35,19222.65,0.01,2.55,156616.81,0.006,2.14,77478.58,0.008,1.64,34376.65,0.009,1.01,11266.35,0.01
600,550,50,yes,em,11,400,10,2,0.01706,4,769509,0.16,1,10322.73,0.01,3.04,147244.99,0.008,1.69,37312.95,0.009,0.53,3758.53,0.009,0.09,330.65,0.005
600,550,50,yes,em,11,600,10,2,0.01706,4,769509,0.28,0.05,23.51,0.01,3,143713.16,0.008,1.5,28209.34,0.009,0.28,1440.05,0.007,0.03,17.78,0.007
600,550,50,yes,em,11,200,10,2,0.01706,4,769509,0.19,1.18,16598.38,0.009,3.12,160570.35,0.008,2.13,56999.14,0.009,1.08,14627.49,0.009,0.26,2118.89,0.006
600,550,50,yes,ll,14,200,5,2,0.01706,3,1369289,0.19,1.39,23796.46,0.009,2.55,155991.51,0.006,1.96,63539.93,0.008,1.24,20115.32,0.009,0.5,5229.78,0.007
600,550,50,yes,ll,14,400,5,2,0.01706,3,1369289,0.14,1.34,21961.86,0.009,2.52,148525.09,0.007,1.69,41262.14,0.008,0.69,7934.31,0.008,0.07,316.89,0.004
600,550,50,yes,ll,14,600,5,2,0.01706,3,1369289,0.14,1.08,14016.38,0.009,2.5,145849.68,0.007,1.5,30843.72,0.009,0.35,2846.87,0.007,0.01,14.92,0.002
600,550,50,yes,ll,14,100,10,2,0.01706,3,1369289,0.22,1.48,37383.15,0.008,2.5,185276.64,0.006,2.13,91920.26,0.007,1.6,45745.33,0.007,0.96,18965.32,0.007
600,550,50,yes,ll,14,100,10,3,0.01706,3,1369289,0.19,1.74,46860.69,0.008,2.51,174529.14,0.006,2.2,86437.08,0.007,1.65,43922.64,0.008,0.96,18882.06,0.007
600,550,50,yes,ll,14,100,10,4,0.01706,3,1369289,0.18,1.73,44808.04,0.008,2.52,163382.96,0.006,2.13,82948.64,0.007,1.52,37181.53,0.008,0.83,13964.86,0.007
600,550,50,yes,ll,14,100,10,5,0.01706,3,1369289,0.2,1.59,39679.77,0.008,2.51,169175.64,0.006,2.16,83361.73,0.007,1.58,39189.52,0.008,0.84,14434.39,0.007
600,550,50,yes,ll,14,100,7,3,0.01706,3,1369289,0.22,1.58,35308.89,0.008,2.58,159574.4,0.006,2.14,81293.3,0.008,1.66,40764.07,0.008,0.95,17633.22,0.007
600,550,50,yes,ll,14,200,7,2,0.01706,3,1369289,0.16,1.52,38697.72,0.008,2.52,167051.1,0.006,1.96,72686.67,0.007,1.17,26083.75,0.007,0.41,6379.22,0.005
600,550,50,yes,ll,14,400,7,2,0.01706,3,1369289,0.14,1.36,29584.4,0.008,2.49,158539.65,0.006,1.68,51362.02,0.007,0.69,10701.07,0.007,0.07,614.98,0.003
600,550,50,yes,ll,14,600,7,2,0.01706,3,1369289,0.11,1.35,29046.3,0.008,2.47,154201.65,0.006,1.49,37123.91,0.008,0.33,3622.73,0.006,0,7.4,0.002
600,550,50,yes,ll,14,100,7,2,0.01706,3,1369289,0.2,1.61,46902.75,0.007,2.5,179818.22,0.006,2.13,93171.68,0.007,1.56,45415.65,0.007,0.93,18410.23,0.007
600,550,50,yes,mm,12,100,7,2,0.01706,2,266320,0.12,0.91,22584.5,0.006,1.38,64907.27,0.005,0.97,27027.66,0.006,0.58,11129.02,0.006,0.3,4722.89,0.004
600,550,50,yes,ee,10,200,5,2,0.01706,1,1102968,0.54,0,0.32,0.005,0.86,105074.59,0.003,0.65,31948.99,0.004,0.35,7756.08,0.004,0.12,1184.48,0.004
600,550,50,yes,ee,10,100,10,2,0.01706,1,1102968,0.58,0.01,3.01,0.004,0.86,134679.51,0.002,0.72,61819.2,0.003,0.52,25786.44,0.003,0.28,8466.22,0.003
600,550,50,no,ee,0,100,5,2,0.01706,1,1340447,0.35,0.27,4683.77,0.004,0.8,138235.93,0.002,0.72,73051.54,0.003,0.58,29319.16,0.003,0.36,11963.2,0.003
600,550,50,yes,ee,10,100,5,2,0.01706,1,1102968,0.33,0.26,3927.05,0.004,0.86,113172.55,0.003,0.74,49995.86,0.003,0.51,21912.92,0.003,0.32,7236.02,0.004
600,550,50,yes,ee,10,100,7,2,0.01706,1,1102968,0.22,0.49,16381.79,0.004,0.86,116311.19,0.003,0.73,51345.84,0.003,0.52,21122.15,0.004,0.24,6491.59,0.003
600,550,50,yes,ee,10,200,10,2,0.01706,1,1102968,0.16,0.52,21349.62,0.004,0.84,122986.43,0.002,0.64,42112.29,0.003,0.39,13689.47,0.003,0.13,2502.02,0.003
600,550,50,yes,ee,10,400,10,2,0.01706,1,1102968,0.18,0.28,5259.14,0.004,0.83,109613.39,0.003,0.56,26603.52,0.003,0.22,3747.59,0.004,0.03,171.45,0.002
600,550,50,no,ee,0,100,10,3,0.01706,1,1340447,0.42,0.18,2833.36,0.003,0.79,164836.84,0.002,0.69,85101.33,0.002,0.56,38872.23,0.003,0.36,13673.59,0.003
600,550,50,no,ee,0,100,7,2,0.01706,1,1340447,0.4,0.18,2696.85,0.003,0.78,156947.48,0.002,0.7,86503.12,0.002,0.56,40764.9,0.003,0.4,14026.27,0.003
600,550,50,no,ee,0,200,10,2,0.01706,1,1340447,0.3,0.26,5561.16,0.003,0.79,160364.42,0.002,0.65,73516.55,0.002,0.46,25106.53,0.003,0.24,5287.67,0.003
600,550,50,no,ee,0,200,7,2,0.01706,1,1340447,0.23,0.44,15856.14,0.003,0.78,150191.97,0.002,0.68,68360.56,0.003,0.48,21572.71,0.003,0.22,4744.34,0.003
700,650,50,no,em,1,100,10,2,0.007899,1,70313,0.54,0.01,0,0.078,0.75,17941.17,0.006,0.6,10054.03,0.006,0.42,4444.4,0.006,0.22,1412.64,0.006
700,650,50,yes,comb,13,200,5,2,0.007899,4,2138798,0.52,0.01,0,0.073,3.27,315851.9,0.006,2.48,127431.23,0.007,1.57,43159.37,0.008,0.65,9348.5,0.007
700,650,50,yes,em,11,200,5,2,0.007899,2,769509,0.49,0.01,0,0.065,1.57,141169.13,0.004,1.09,44100.33,0.005,0.59,10855.75,0.006,0.2,1750.26,0.005
700,650,50,no,ll,4,200,10,2,0.007899,1,1356344,0.59,0,0,0.064,0.83,173915.66,0.002,0.71,76617.22,0.003,0.52,30148.53,0.003,0.31,8974.05,0.003
700,650,50,no,em,1,200,7,2,0.007899,1,70313,0.41,0,0,0.064,0.74,16968.78,0.006,0.54,7732.06,0.006,0.26,1858.57,0.006,0.05,267.42,0.003
700,650,50,no,ll,4,400,10,2,0.007899,1,1356344,0.48,0,0,0.064,0.84,166645.54,0.002,0.68,58511.92,0.003,0.39,15597.8,0.003,0.19,2865.8,0.004
700,650,50,no,ll,4,600,10,2,0.007899,1,1356344,0.42,0,0,0.064,0.84,163982.64,0.002,0.63,48382.21,0.003,0.32,8789.92,0.003,0.1,963.21,0.003
700,650,50,no,ll,4,100,7,3,0.007899,1,1356344,0.64,0,0,0.06,0.85,164929.11,0.002,0.76,76401.47,0.003,0.58,30732.31,0.003,0.37,10561.23,0.004
700,650,50,no,ll,4,200,5,2,0.007899,1,1356344,0.55,0,0,0.06,0.85,156286.65,0.002,0.7,66239.34,0.003,0.51,23122.83,0.003,0.27,5874.12,0.003
700,650,50,no,ll,4,400,10,3,0.007899,1,1356344,0.45,0,0,0.06,0.85,162420.04,0.002,0.67,53103.1,0.003,0.38,12241.69,0.003,0.17,1661.82,0.004
700,650,50,no,ll,4,400,5,2,0.007899,1,1356344,0.46,0,0,0.06,0.85,153644.84,0.002,0.66,51036.31,0.003,0.37,11755.23,0.003,0.16,2318.62,0.003
700,650,50,no,ll,4,600,10,3,0.007899,1,1356344,0.34,0,0,0.06,0.85,155033.1,0.002,0.59,36573.79,0.003,0.24,4138.43,0.004,0.02,62.27,0.003
700,650,50,no,ll,4,600,5,2,0.007899,1,1356344,0.39,0.01,0.01,0.055,0.85,152170.8,0.002,0.62,39869.22,0.003,0.3,7092.95,0.004,0.07,287.09,0.004
700,650,50,yes,comb,13,400,5,2,0.007899,4,2138798,0.44,0,0,0.053,3.25,313867.86,0.006,2.21,95676.42,0.007,1.02,19747.4,0.007,0.15,1439.61,0.004
700,650,50,yes,comb,13,100,7,2,0.007899,4,2138798,0.67,0,0,0.05,3.3,335386.88,0.006,2.67,171311.53,0.006,1.96,76714.35,0.007,1.13,28193.43,0.007
700,650,50,no,ll,4,100,10,4,0.007899,1,1356344,0.69,0,0,0.047,0.84,175727.67,0.002,0.73,85658.43,0.002,0.57,39297.1,0.003,0.42,17238.95,0.003
700,650,50,no,ll,4,100,10,5,0.007899,1,1356344,0.69,0,0,0.047,0.84,175727.67,0.002,0.73,85658.43,0.002,0.57,39297.1,0.003,0.42,17238.95,0.003
700,650,50,no,ll,4,400,10,4,0.007899,1,1356344,0.42,0,0,0.047,0.85,154154.05,0.002,0.63,46058.01,0.003,0.3,7798.47,0.003,0.08,523.5,0.003
700,650,50,no,ll,4,400,10,5,0.007899,1,1356344,0.42,0,0,0.047,0.85,154154.05,0.002,0.63,46058.01,0.003,0.3,7798.47,0.003,0.08,523.5,0.003
700,650,50,no,ll,4,600,10,4,0.007899,1,1356344,0.34,0,0,0.047,0.84,152873.05,0.002,0.58,35979.48,0.003,0.24,3995.68,0.004,0.02,97.78,0.002
700,650,50,no,ll,4,600,10,5,0.007899,1,1356344,0.34,0,0,0.047,0.84,152873.05,0.002,0.58,35979.48,0.003,0.24,3995.68,0.004,0.02,97.78,0.002
700,650,50,no,em,1,100,7,2,0.007899,1,70313,0.59,0,0,0.046,0.75,19185.45,0.005,0.62,10133.48,0.006,0.42,5197.57,0.006,0.23,1460.18,0.006
700,650,50,yes,ll,14,200,10,2,0.007899,2,1369289,0.55,0,0,0.041,1.66,174825.55,0.004,1.33,70554.77,0.005,0.83,27759.07,0.005,0.38,7631.17,0.004
700,650,50,no,comb,3,100,10,3,0.007899,2,1426657,0.66,0,0,0.035,1.68,236382.36,0.003,1.39,121576.68,0.004,1.09,60570.48,0.004,0.7,24640.19,0.004
700,650,50,no,em,1,200,10,2,0.007899,1,70313,0.4,0.01,0.33,0.014,0.75,17195.08,0.006,0.55,8013.29,0.006,0.3,2220.57,0.006,0.08,466.36,0.003
700,650,50,yes,em,11,100,7,3,0.007899,2,769509,0.57,0.02,2.44,0.01,1.53,140558.57,0.004,1.21,68210,0.005,0.84,25125.3,0.005,0.45,6962.06,0.005
700,650,50,yes,mm,12,100,10,2,0.007899,1,266320,0.62,0.01,0.62,0.008,0.68,65654.88,0.003,0.49,28048.11,0.003,0.3,11332.54,0.003,0.15,4899.84,0.002
700,650,50,yes,comb,13,100,5,3,0.007899,4,2138798,0.25,1.66,40515.94,0.008,3.3,311972.13,0.006,2.7,158043.57,0.007,2.05,70779.59,0.008,1.25,25601.59,0.008
700,650,50,yes,comb,13,100,5,4,0.007899,4,2138798,0.3,1.15,19941.42,0.008,3.25,291604.04,0.006,2.67,150564.05,0.007,1.97,66941.42,0.008,1.16,21748.09,0.008
700,650,50,yes,comb,13,600,5,2,0.007899,4,2138798,0.14,1.57,39696.2,0.008,3.25,309360.14,0.006,2.05,77302.24,0.007,0.71,11329.76,0.007,0.04,383.51,0.002
700,650,50,yes,comb,13,100,10,2,0.007899,4,2138798,0.2,1.93,85792.19,0.007,3.28,360907.51,0.005,2.67,188818.46,0.006,1.94,86585.91,0.007,1.08,31747.47,0.006
700,650,50,yes,comb,13,100,5,2,0.007899,4,2138798,0.23,1.8,57444.91,0.007,3.25,315199.99,0.006,2.63,159832.3,0.007,1.98,73350.73,0.007,1.24,30071.35,0.007
700,650,50,yes,comb,13,200,10,2,0.007899,4,2138798,0.15,2.03,91071.88,0.007,3.27,345730.42,0.006,2.45,151193.94,0.006,1.49,51618.24,0.007,0.57,10064.06,0.006
700,650,50,yes,comb,13,200,7,2,0.007899,4,2138798,0.15,2,75270,0.007,3.32,328562.43,0.006,2.45,136493.79,0.007,1.46,41396.33,0.007,0.58,7755.26,0.007
700,650,50,yes,comb,13,400,10,2,0.007899,4,2138798,0.16,1.48,46703.82,0.007,3.26,336462.78,0.006,2.17,109687.73,0.007,0.92,20975.17,0.006,0.14,1051.55,0.004
700,650,50,yes,comb,13,400,7,2,0.007899,4,2138798,0.12,1.92,68208.14,0.007,3.31,319182.82,0.006,2.17,94387.51,0.007,0.91,17962.32,0.007,0.14,1358.43,0.004
700,650,50,yes,comb,13,600,10,2,0.007899,4,2138798,0.13,1.55,50115.27,0.007,3.26,329837.61,0.006,1.98,85460.54,0.007,0.59,9500.11,0.006,0.03,169.93,0.002
700,650,50,yes,comb,13,600,7,2,0.007899,4,2138798,0.11,1.76,57124.49,0.007,3.29,313622.85,0.006,1.96,73064.05,0.007,0.57,7679.33,0.006,0.03,143.5,0.003
700,650,50,no,em,1,100,10,3,0.007899,1,70313,0.18,0.43,4919.45,0.006,0.75,17088.54,0.006,0.55,9237.54,0.006,0.39,4286.85,0.006,0.18,1573.02,0.005
700,650,50,yes,ll,14,100,5,3,0.007899,2,1369289,0.25,0.9,19222.65,0.006,1.7,156616.81,0.004,1.43,77478.58,0.005,1.09,34376.65,0.006,0.67,11266.35,0.006
700,650,50,no,comb,3,100,5,3,0.007899,2,1426657,0.6,0.01,0.98,0.006,1.73,186650.34,0.004,1.5,104268.85,0.005,1.1,48014.54,0.005,0.71,18783.7,0.005
700,650,50,yes,ll,14,100,7,3,0.007899,2,1369289,0.22,1.05,35308.89,0.006,1.72,159574.4,0.004,1.43,81293.3,0.005,1.1,40764.07,0.005,0.63,17633.22,0.005
700,650,50,yes,ll,14,200,5,2,0.007899,2,1369289,0.19,0.93,23796.46,0.006,1.7,155991.51,0.004,1.31,63539.93,0.005,0.83,20115.32,0.006,0.33,5229.78,0.005
700,650,50,yes,ll,14,400,5,2,0.007899,2,1369289,0.14,0.89,21961.86,0.006,1.68,148525.09,0.004,1.12,41262.14,0.006,0.46,7934.31,0.005,0.05,316.89,0.003
700,650,50,yes,ll,14,600,5,2,0.007899,2,1369289,0.14,0.72,14016.38,0.006,1.66,145849.68,0.004,1,30843.72,0.006,0.23,2846.87,0.004,0.01,14.92,0.002
700,650,50,yes,ll,14,100,10,2,0.007899,2,1369289,0.22,0.99,37383.15,0.005,1.67,185276.64,0.004,1.42,91920.26,0.005,1.07,45745.33,0.005,0.64,18965.32,0.005
700,650,50,yes,ll,14,100,10,3,0.007899,2,1369289,0.19,1.16,46860.69,0.005,1.67,174529.14,0.004,1.47,86437.08,0.005,1.1,43922.64,0.005,0.64,18882.06,0.005
700,650,50,yes,ll,14,100,10,4,0.007899,2,1369289,0.18,1.16,44808.04,0.005,1.68,163382.96,0.004,1.42,82948.64,0.005,1.01,37181.53,0.005,0.56,13964.86,0.005
700,650,50,no,comb,3,100,10,4,0.007899,2,1426657,0.27,0.82,28401.9,0.005,1.64,222678.28,0.003,1.4,117241.18,0.004,1.09,56952.16,0.005,0.71,22513.6,0.005
700,650,50,yes,ll,14,100,10,5,0.007899,2,1369289,0.2,1.06,39679.77,0.005,1.67,169175.64,0.004,1.44,83361.73,0.005,1.05,39189.52,0.005,0.56,14434.39,0.005
700,650,50,no,comb,3,100,10,5,0.007899,2,1426657,0.28,0.78,25128.32,0.005,1.64,219427.18,0.004,1.39,115287.1,0.004,1.07,54850.48,0.005,0.69,20809.41,0.005
700,650,50,no,comb,3,100,5,2,0.007899,2,1426657,0.41,0.53,10444.87,0.005,1.7,189979.03,0.004,1.49,111527.23,0.004,1.19,61232.53,0.005,0.8,28556.74,0.005
700,650,50,yes,ll,14,100,7,2,0.007899,2,1369289,0.2,1.07,46902.75,0.005,1.66,179818.22,0.004,1.42,93171.68,0.005,1.04,45415.65,0.005,0.62,18410.23,0.005
700,650,50,no,comb,3,100,7,2,0.007899,2,1426657,0.3,0.79,26899.44,0.005,1.67,188930.98,0.004,1.45,106051.87,0.004,1.1,55080.73,0.005,0.8,27700.33,0.005
700,650,50,no,comb,3,100,7,3,0.007899,2,1426657,0.38,0.47,8323.71,0.005,1.69,199039.1,0.004,1.46,113983.36,0.004,1.13,54046.22,0.005,0.74,21155.61,0.005
700,650,50,no,comb,3,100,7,5,0.007899,2,1426657,0.34,0.64,14067.94,0.005,1.71,195438.49,0.004,1.47,110020.2,0.004,1.14,51399.74,0.005,0.73,20257.96,0.005
700,650,50,yes,em,11,200,10,2,0.007899,2,769509,0.19,0.59,16598.38,0.005,1.56,160570.35,0.004,1.07,56999.14,0.004,0.54,14627.49,0.004,0.13,2118.89,0.003
700,650,50,no,comb,3,200,10,2,0.007899,2,1426657,0.31,0.47,9761.16,0.005,1.64,231841.96,0.003,1.32,103222.94,0.004,0.88,39489.96,0.004,0.5,11376.02,0.005
700,650,50,no,comb,3,200,10,3,0.007899,2,1426657,0.23,0.74,23244.98,0.005,1.67,226953,0.004,1.31,95355.3,0.004,0.86,32821.9,0.005,0.46,10347.41,0.005
700,650,50,no,comb,3,200,10,4,0.007899,2,1426657,0.23,0.74,21490.65,0.005,1.65,216972.23,0.004,1.31,92201.08,0.004,0.87,31085.08,0.005,0.47,10768.03,0.005
700,650,50,no,comb,3,200,10,5,0.007899,2,1426657,0.22,0.8,24496.07,0.005,1.65,218682.35,0.004,1.31,91875.6,0.004,0.85,29802.55,0.005,0.45,9627.54,0.005
700,650,50,no,comb,3,200,5,3,0.007899,2,1426657,0.22,0.71,17556.98,0.005,1.71,178794.07,0.004,1.35,79383.21,0.005,0.8,24317.6,0.005,0.32,5030.22,0.005
700,650,50,yes,em,11,200,7,2,0.007899,2,769509,0.17,0.71,17040.35,0.005,1.53,143460.13,0.004,1.07,53305.52,0.005,0.56,12679.75,0.005,0.18,2240.36,0.004
700,650,50,yes,ll,14,200,7,2,0.007899,2,1369289,0.16,1.01,38697.72,0.005,1.68,167051.1,0.004,1.31,72686.67,0.005,0.78,26083.75,0.005,0.27,6379.22,0.003
700,650,50,no,comb,3,200,7,2,0.007899,2,1426657,0.23,0.81,26016.33,0.005,1.66,184917.48,0.004,1.41,89456.74,0.005,0.95,38831.95,0.005,0.52,11686.63,0.005
700,650,50,no,comb,3,200,7,3,0.007899,2,1426657,0.25,0.6,12465.79,0.005,1.69,191377.8,0.004,1.38,87480.44,0.005,0.87,27637.88,0.005,0.41,6510.94,0.005
700,650,50,yes,em,11,400,10,2,0.007899,2,769509,0.16,0.5,10322.73,0.005,1.52,147244.99,0.004,0.84,37312.95,0.004,0.26,3758.53,0.004,0.04,330.65,0.002
700,650,50,no,comb,3,400,10,2,0.007899,2,1426657,0.22,0.56,13976.32,0.005,1.65,223856.6,0.003,1.21,77768.29,0.004,0.65,19830.92,0.005,0.3,4695.02,0.004
700,650,50,no,comb,3,400,5,3,0.007899,2,1426657,0.14,0.86,25214.61,0.005,1.69,169927.21,0.004,1.11,50583.34,0.005,0.41,7548.23,0.005,0.03,213.48,0.002
700,650,50,yes,ll,14,400,7,2,0.007899,2,1369289,0.14,0.91,29584.4,0.005,1.66,158539.65,0.004,1.12,51362.02,0.005,0.46,10701.07,0.004,0.04,614.98,0.002
700,650,50,yes,em,11,600,10,2,0.007899,2,769509,0.28,0.02,23.51,0.005,1.5,143713.16,0.004,0.75,28209.34,0.004,0.14,1440.05,0.004,0.02,17.78,0.004
700,650,50,no,comb,3,600,10,2,0.007899,2,1426657,0.19,0.58,14310.54,0.005,1.64,223655.25,0.003,1.14,61791.23,0.005,0.49,11701.32,0.005,0.12,1423.59,0.003
700,650,50,yes,ll,14,600,7,2,0.007899,2,1369289,0.11,0.9,29046.3,0.005,1.65,154201.65,0.004,0.99,37123.91,0.005,0.22,3622.73,0.004,0,7.4,0.001
700,650,50,yes,mm,12,100,7,2,0.007899,1,266320,0.12,0.45,22584.5,0.003,0.69,64907.27,0.003,0.49,27027.66,0.003,0.29,11129.02,0.003,0.15,4722.89,0.002
800,750,50,yes,comb,13,200,5,2,0.003902,2,2138798,0.52,0,0,0.052,1.64,315851.9,0.003,1.24,127431.23,0.003,0.78,43159.37,0.004,0.33,9348.5,0.003
800,750,50,yes,em,11,200,5,2,0.003902,1,769509,0.49,0,0,0.041,0.78,141169.13,0.002,0.55,44100.33,0.003,0.29,10855.75,0.003,0.1,1750.26,0.002
800,750,50,yes,comb,13,400,5,2,0.003902,2,2138798,0.44,0,0,0.038,1.63,313867.86,0.003,1.11,95676.42,0.004,0.51,19747.4,0.004,0.08,1439.61,0.002
800,750,50,yes,comb,13,100,7,2,0.003902,2,2138798,0.67,0,0,0.035,1.65,335386.88,0.003,1.33,171311.53,0.003,0.98,76714.35,0.004,0.57,28193.43,0.003
800,750,50,no,comb,3,100,10,3,0.003902,1,1426657,0.66,0,0,0.024,0.84,236382.36,0.002,0.7,121576.68,0.002,0.54,60570.48,0.002,0.35,24640.19,0.002
800,750,50,yes,em,11,100,7,3,0.003902,1,769509,0.57,0.01,2.44,0.005,0.76,140558.57,0.002,0.61,68210,0.002,0.42,25125.3,0.003,0.22,6962.06,0.003
800,750,50,yes,comb,13,100,5,2,0.003902,2,2138798,0.23,0.9,57444.91,0.004,1.63,315199.99,0.003,1.31,159832.3,0.003,0.99,73350.73,0.004,0.62,30071.35,0.004
800,750,50,yes,comb,13,100,5,3,0.003902,2,2138798,0.25,0.83,40515.94,0.004,1.65,311972.13,0.003,1.35,158043.57,0.003,1.03,70779.59,0.004,0.63,25601.59,0.004
800,750,50,yes,comb,13,100,5,4,0.003902,2,2138798,0.3,0.57,19941.42,0.004,1.63,291604.04,0.003,1.33,150564.05,0.003,0.99,66941.42,0.004,0.58,21748.09,0.004
800,750,50,yes,comb,13,200,7,2,0.003902,2,2138798,0.15,1,75270,0.004,1.66,328562.43,0.003,1.23,136493.79,0.003,0.73,41396.33,0.004,0.29,7755.26,0.003
800,750,50,yes,comb,13,400,7,2,0.003902,2,2138798,0.12,0.96,68208.14,0.004,1.65,319182.82,0.003,1.08,94387.51,0.004,0.45,17962.32,0.003,0.07,1358.43,0.002
800,750,50,yes,comb,13,600,5,2,0.003902,2,2138798,0.14,0.79,39696.2,0.004,1.63,309360.14,0.003,1.03,77302.24,0.004,0.36,11329.76,0.003,0.02,383.51,0.001
800,750,50,yes,comb,13,600,7,2,0.003902,2,2138798,0.11,0.88,57124.49,0.004,1.64,313622.85,0.003,0.98,73064.05,0.004,0.28,7679.33,0.003,0.02,143.5,0.001
800,750,50,yes,comb,13,100,10,2,0.003902,2,2138798,0.2,0.97,85792.19,0.003,1.64,360907.51,0.003,1.34,188818.46,0.003,0.97,86585.91,0.003,0.54,31747.47,0.003
800,750,50,no,comb,3,100,5,2,0.003902,1,1426657,0.41,0.26,10444.87,0.003,0.85,189979.03,0.002,0.74,111527.23,0.002,0.6,61232.53,0.002,0.4,28556.74,0.002
800,750,50,no,comb,3,100,5,3,0.003902,1,1426657,0.6,0,0.98,0.003,0.87,186650.34,0.002,0.75,104268.85,0.002,0.55,48014.54,0.002,0.36,18783.7,0.003
800,750,50,no,comb,3,100,7,3,0.003902,1,1426657,0.38,0.24,8323.71,0.003,0.84,199039.1,0.002,0.73,113983.36,0.002,0.57,54046.22,0.002,0.37,21155.61,0.003
800,750,50,no,comb,3,100,7,5,0.003902,1,1426657,0.34,0.32,14067.94,0.003,0.86,195438.49,0.002,0.74,110020.2,0.002,0.57,51399.74,0.003,0.37,20257.96,0.003
800,750,50,yes,comb,13,200,10,2,0.003902,2,2138798,0.15,1.01,91071.88,0.003,1.64,345730.42,0.003,1.23,151193.94,0.003,0.75,51618.24,0.003,0.28,10064.06,0.003
800,750,50,no,comb,3,200,10,4,0.003902,1,1426657,0.23,0.37,21490.65,0.003,0.82,216972.23,0.002,0.65,92201.08,0.002,0.43,31085.08,0.002,0.23,10768.03,0.002
800,750,50,no,comb,3,200,10,5,0.003902,1,1426657,0.22,0.4,24496.07,0.003,0.82,218682.35,0.002,0.66,91875.6,0.002,0.43,29802.55,0.002,0.23,9627.54,0.002
800,750,50,no,comb,3,200,5,3,0.003902,1,1426657,0.22,0.36,17556.98,0.003,0.85,178794.07,0.002,0.67,79383.21,0.002,0.4,24317.6,0.003,0.16,5030.22,0.002
800,750,50,yes,em,11,200,7,2,0.003902,1,769509,0.17,0.35,17040.35,0.003,0.77,143460.13,0.002,0.54,53305.52,0.002,0.28,12679.75,0.003,0.09,2240.36,0.002
800,750,50,no,comb,3,200,7,2,0.003902,1,1426657,0.23,0.4,26016.33,0.003,0.83,184917.48,0.002,0.7,89456.74,0.002,0.47,38831.95,0.002,0.26,11686.63,0.002
800,750,50,no,comb,3,200,7,3,0.003902,1,1426657,0.25,0.3,12465.79,0.003,0.85,191377.8,0.002,0.69,87480.44,0.002,0.43,27637.88,0.003,0.21,6510.94,0.003
800,750,50,yes,comb,13,400,10,2,0.003902,2,2138798,0.16,0.74,46703.82,0.003,1.63,336462.78,0.003,1.09,109687.73,0.003,0.46,20975.17,0.003,0.07,1051.55,0.002
800,750,50,no,comb,3,400,5,3,0.003902,1,1426657,0.14,0.43,25214.61,0.003,0.85,169927.21,0.002,0.55,50583.34,0.002,0.21,7548.23,0.002,0.01,213.48,0.001
800,750,50,yes,comb,13,600,10,2,0.003902,2,2138798,0.13,0.77,50115.27,0.003,1.63,329837.61,0.003,0.99,85460.54,0.003,0.29,9500.11,0.003,0.02,169.93,0.001
800,750,50,no,comb,3,100,10,4,0.003902,1,1426657,0.27,0.41,28401.9,0.002,0.82,222678.28,0.002,0.7,117241.18,0.002,0.54,56952.16,0.002,0.36,22513.6,0.002
800,750,50,no,comb,3,100,10,5,0.003902,1,1426657,0.28,0.39,25128.32,0.002,0.82,219427.18,0.002,0.7,115287.1,0.002,0.54,54850.48,0.002,0.35,20809.41,0.002
800,750,50,no,comb,3,100,7,2,0.003902,1,1426657,0.3,0.4,26899.44,0.002,0.83,188930.98,0.002,0.72,106051.87,0.002,0.55,55080.73,0.002,0.4,27700.33,0.002
